5459,14,39,35.9,-60.5007,-0.01,G,Rigel Kentaurus
7001,18,36,56.3,+38.4701,0.03,A,VEGA
5340,14,15,39.7,+19.1057,-0.04,K,ARCTURUS
1708,05,16,41.4,+45.5953,0.08,G,CAPELLA
1713,05,14,32.3,-08.1206,0.12,B,RIGEL
2943,07,39,18.1,+05.1330,0.38,F,PROCYON
472,01,37,42.9,-57.1412,0.46,B,ACHERNAR 
2061,05,55,10.3,+07.2425,0.50,M,BETELGEUSE
5267,14,03,49.4,-60.2223,0.61,B,AGENA
2326,06,23,57.1,-52.4145,-0.72,F,CANOPUS
7557,19,50,47.0,+08.5206,0.77,A,ALTAIR
1457,04,35,55.2,+16.3033,0.85,K,ALDEBARAN
6134,16,29,24.4,-26.2555,0.96,M,ANTARES
5056,13,25,11.6,-11.0941,0.98,B,SPICA
2990,07,45,18.9,+28.0134,1.14,K,POLLUX
8728,22,57,39.1,-29.3720,1.16,A,FOMALHAUT
4853,12,47,43.2,-59.4119,1.25,B,Becrux
7924,20,41,25.9,+45.1649,1.25,A,DENEB
4730,12,26,35.9,-63.0557,1.33,B,ACRUX 
5460,14,39,36.1,-60.5008,1.33,K,
3982,10,08,22.3,+11.5802,1.35,B,REGULUS
2491,06,45,08.9,-16.4258,-1.46,A,SIRIUS
2618,06,58,37.5,-28.5820,1.50,B,ADARA
4763,12,31,09.9,-57.0648,1.63,M,Gacrux 
6527,17,33,36.5,-37.0614,1.63,B,SHAULA 
1790,05,25,07.9,+06.2059,1.64,B,BELLATRIX
1791,05,26,17.5,+28.3627,1.65,B,ALNATH
3685,09,13,12.0,-69.4302,1.68,A,Miaplacidus 
1903,05,36,12.8,-01.1207,1.70,B,ALNILAM
4731,12,26,36.5,-63.0558,1.73,B,
8425,22,08,14.0,-46.5740,1.74,B,ALNAIR
4905,12,54,01.7,+55.5735,1.77,A,ALIOTH
3207,08,09,32.0,-47.2012,1.78,W,Suhail al Muhlif
1017,03,24,19.4,+49.5140,1.79,F,MIRPHAK
4301,11,03,43.7,+61.4503,1.79,K,DUBHE
2693,07,08,23.5,-26.2336,1.84,F,Wezen
6879,18,24,10.3,-34.2305,1.85,B,KAUS AUSTRALIS 
3307,08,22,30.8,-59.3035,1.86,K,Avior 
5191,13,47,32.4,+49.1848,1.86,B,ALKAID
6553,17,37,19.2,-42.5952,1.87,F,Sargas 
2088,05,59,31.7,+44.5651,1.90,A,Menkalinan
6217,16,48,39.9,-69.0140,1.92,K,
2421,06,37,42.7,+16.2357,1.93,A,ALHENA 
7790,20,25,38.9,-56.4406,1.94,B,Peacock 
3485,08,44,42.2,-54.4230,1.96,A,
2294,06,22,42.0,-17.5721,1.98,B,Murzim
2891,07,34,36.0,+31.5318,1.98,A,CASTOR
3748,09,27,35.2,-08.3931,1.98,K,ALPHARD
5958,15,59,30.2,+25.5513,2.0,s,Blaze Star 
617,02,07,10.4,+23.2745,2.00,K,HAMAL
424,02,31,48.7,+89.1551,2.02,F,POLARIS
7121,18,55,15.9,-26.1748,2.02,B,NUNKI
188,00,43,35.4,-17.5912,2.04,G,DIPHDA
1948,05,40,45.5,-01.5634,2.05,O,ALNITAK
15,00,08,23.3,+29.0526,2.06,B,ALPHERATZ
337,01,09,43.9,+35.3714,2.06,M,MIRACH
2004,05,47,45.4,-09.4011,2.06,B,SAIPH 
5288,14,06,41.0,-36.2212,2.06,K,Menkent 
5563,14,50,42.3,+74.0920,2.08,K,KOCAB
6556,17,34,56.1,+12.3336,2.08,A,RASALHAGUE
8636,22,42,40.1,-46.5305,2.10,M,
936,03,08,10.1,+40.5720,2.12,B,ALGOL
4534,11,49,03.6,+14.3419,2.14,A,DENEBOLA
4819,12,41,31.0,-48.5735,2.17,A,
7796,20,22,13.7,+40.1524,2.20,F,Sadr
3634,09,07,59.8,-43.2557,2.21,K,Alsuhail
168,00,40,30.5,+56.3214,2.23,K,SHEDIR
1852,05,32,00.4,-00.1757,2.23,O,MINTAKA
5793,15,34,41.3,+26.4253,2.23,A,ALPHEKKA
6705,17,56,36.4,+51.2920,2.23,K,ETAMIN
3165,08,03,35.1,-40.0012,2.25,O,Naos
3699,09,17,05.4,-59.1631,2.25,A,Turais
603,02,03,54.0,+42.1947,2.26,K,ALMAAK
21,00,09,10.7,+59.0859,2.27,F,Caph
5054,13,23,55.5,+54.5531,2.27,A,MIZAR
6241,16,50,09.8,-34.1736,2.29,K,
5132,13,39,53.2,-53.2759,2.30,B,
5469,14,41,55.8,-47.2318,2.30,B,
5440,14,35,30.4,-42.0928,2.31,B,
5953,16,00,20.0,-22.3718,2.32,B,Dschubba
4295,11,01,50.5,+56.2257,2.37,A,MERAK
99,00,26,17.0,-42.1822,2.39,K,ANKAA
8308,21,44,11.2,+09.5230,2.39,K,ENIF
6580,17,42,29.3,-39.0148,2.41,B,
8775,23,03,46.5,+28.0458,2.42,M,SCHEAT
6378,17,10,22.7,-15.4329,2.43,A,Sabik 
4554,11,53,49.8,+53.4141,2.44,A,PHAD
8162,21,18,34.8,+62.3508,2.44,A,ALDERAMIN
2827,07,24,05.7,-29.1811,2.45,B,Aludra 
7949,20,46,12.7,+33.5813,2.46,K,Gienah Cygni
264,00,56,42.5,+60.4300,2.47,B,
8781,23,04,45.7,+15.1219,2.49,B,MARKAB
3734,09,22,06.8,-55.0039,2.50,B,
911,03,02,16.8,+04.0523,2.53,M,MENKAR
5231,13,55,32.4,-47.1718,2.55,B,
4357,11,14,06.5,+20.3125,2.56,A,Zosma
6175,16,37,09.5,-10.3402,2.56,O,
1865,05,32,43.8,-17.4920,2.58,F,ARNEB 
4662,12,15,48.4,-17.3231,2.59,B,Gienah Ghurab
4621,12,08,21.5,-50.4321,2.60,B,
7194,19,02,36.7,-29.5249,2.60,A,Ascella 
4057,10,19,58.3,+19.5030,2.61,K,ALGIEBA
5685,15,17,00.4,-09.2259,2.61,B,Zuben Elschemali
2095,05,59,43.3,+37.1245,2.62,A,
5984,16,05,26.2,-19.4820,2.62,B,Graffias
553,01,54,38.4,+20.4829,2.64,A,Sharatan
1956,05,39,38.9,-34.0427,2.64,B,Phaet
4786,12,34,23.2,-23.2348,2.65,G,Kraz in Becvar
5854,15,44,16.1,+06.2532,2.65,K,UNUKALHAI
403,01,25,49.0,+60.1407,2.68,A,Ruchbah
5235,13,54,41.1,+18.2352,2.68,G,Mufrid
5571,14,58,31.9,-43.0802,2.68,B,
1577,04,56,59.6,+33.0958,2.69,K,Hassaleh in Becvar 
4216,10,46,46.2,-49.2512,2.69,G,
4798,12,37,11.0,-69.0808,2.69,B,
6508,17,30,45.8,-37.1745,2.69,B,Lesath
2773,07,17,08.6,-37.0551,2.70,K,
5506,14,44,59.2,+27.0427,2.70,K,IZAR
6859,18,20,59.7,-29.4941,2.70,K,Kaus Meridionalis
7525,19,46,15.6,+10.3648,2.72,K,TARAZED
6056,16,14,20.7,-03.4140,2.74,M,Yed Prior
6132,16,23,59.5,+61.3051,2.74,G,
5028,13,20,35.8,-36.4244,2.75,A,
5531,14,50,52.7,-16.0230,2.75,A,Zuben Elgenubi
4199,10,42,57.4,-64.2340,2.76,B,
1899,05,35,26.0,-05.5436,2.77,O,Nair al Saif
6148,16,30,13.2,+21.2923,2.77,G,Kornephoros
6603,17,43,28.4,+04.3402,2.77,K,Cebalrai
5776,15,35,08.5,-41.1001,2.78,B,
1666,05,07,51.0,-05.0511,2.79,A,Cursa
6536,17,30,26.0,+52.1805,2.79,G,Rastaban
98,00,25,45.1,-77.1515,2.80,G,
4656,12,15,08.7,-58.4456,2.80,B,
3185,08,07,32.6,-24.1815,2.81,F,Called Iota Pup in Argelander's atlas  and in Bayer 
6212,16,41,17.2,+31.3611,2.81,G,
6913,18,27,58.2,-25.2518,2.81,K,Kaus Borealis 
6165,16,35,53.0,-28.1258,2.82,B,See HR 6084 
39,00,13,14.2,+15.1101,2.83,B,ALGENIB 
4932,13,02,10.6,+10.5733,2.83,G,VINDEMIATRIX
1829,05,28,14.7,-20.4534,2.84,G,NIHAL
1203,03,54,07.9,+31.5301,2.85,B,
5897,15,55,08.5,-63.2550,2.85,F,
6461,17,25,18.0,-55.3148,2.85,K,
591,01,58,46.2,-61.3411,2.86,F,Head of Hydrus 
8502,22,18,30.1,-60.1535,2.86,K,
1165,03,47,29.1,+24.0618,2.87,B,ALCYONE  The brightest of the Pleiades 
7528,19,44,58.5,+45.0751,2.87,B,
8322,21,47,02.4,-16.0738,2.87,A,Deneb Algedi
2286,06,22,57.6,+22.3049,2.88,M,Tejat Posterior
2890,07,34,36.0,+31.5319,2.88,A,
1220,03,57,51.2,+40.0037,2.89,B,
5671,15,18,54.6,-68.4046,2.89,A,
5944,15,58,51.1,-26.0651,2.89,B,
6084,16,21,11.3,-25.3534,2.89,B,Alniyat
7264,19,09,45.8,-21.0125,2.89,F,Albaldah
2845,07,27,09.0,+08.1722,2.90,B,Gomeisa
4915,12,56,01.7,+38.1906,2.90,A,COR CAROLI 
8232,21,31,33.5,-05.3416,2.91,G,Sadalsuud
915,03,04,47.8,+53.3023,2.93,G,
2553,06,49,56.2,-50.3653,2.93,K,
8650,22,43,00.1,+30.1317,2.94,G,Matar 
1231,03,58,01.8,-13.3031,2.95,M,Zaurak
4757,12,29,51.9,-16.3056,2.95,B,Algorab
6510,17,31,50.5,-49.5234,2.95,B,
8414,22,05,47.0,-00.1911,2.96,G,SADALMELIK
2473,06,43,55.9,+25.0752,2.98,G,Mebsuta
3873,09,45,51.1,+23.4627,2.98,G,Ras Elased Australis
1605,05,01,58.1,+43.4924,2.99,F,Al Anz
6746,18,05,48.5,-30.2527,2.99,K,Nash
7235,19,05,24.6,+13.5148,2.99,A,Deneb el Okab
622,02,09,32.6,+34.5914,3.00,A,
1910,05,37,38.7,+21.0833,3.00,B,
4630,12,10,07.5,-22.3711,3.00,K,Minkar 
5020,13,18,55.3,-23.1018,3.00,G,
1122,03,42,55.5,+47.4715,3.01,B,
3890,09,47,06.1,-65.0419,3.01,A,
4335,11,09,39.8,+44.2955,3.01,K,
8353,21,53,55.7,-37.2154,3.01,B,
2282,06,20,18.8,-30.0348,3.02,B,Furud
2653,07,03,01.5,-23.5000,3.02,B,
5435,14,32,04.7,+38.1830,3.03,A,Seginus
6615,17,47,35.1,-40.0737,3.03,F,
681,02,19,20.7,-02.5839,3.04,M,MIRA 
5193,13,49,37.0,-42.2826,3.04,B,
4069,10,22,19.7,+41.2958,3.05,M,Tania Australis 
4844,12,46,16.9,-68.0629,3.05,B,
5735,15,20,43.7,+71.5002,3.05,A,Pherkad
7310,19,12,33.3,+67.3942,3.07,G,Nodus Secundus
